"year","runtime"
2021,94
2000,60
2001,118
2020,70
2018,122
2005,100
2002,126
2009,58
2022,65
2017,80
2000,80
2006,90
2023,NA
2021,100
2004,96
2023,86
2002,95
2006,125
2015,NA
2017,NA
2002,97
2000,86
2000,NA
2000,100
2002,85
2001,90
2001,105
2008,100
2000,91
2000,167
2000,86
2000,180
2001,101
2009,101
2003,NA
2008,83
2005,72
2001,90
2001,145
2001,104
2001,100
2000,98
2000,96
2000,99
2000,94
2002,132
2001,89
2007,83
2000,88
2000,86
2001,NA
2003,90
2000,98
2022,101
2000,104
2000,75
2008,82
2002,91
2000,160
2001,86
2000,105
2000,98
2000,110
2000,87
2000,96
2022,108
2003,102
2001,100
2000,123
2000,84
2005,106
2000,78
2002,123
2001,122
2000,94
2000,74
2001,178
2000,122
2000,123
2002,100
2001,112
2001,111
2002,NA
2000,104
2002,88
2000,94
2000,78
2005,77
2002,142
2005,140
2000,NA
2000,99
2004,89
2000,115
2002,NA
2000,108
2000,90
2001,84
2001,92
2001,123
2001,90
2001,92
2000,105
2002,87
2000,86
2001,100
2002,75
2007,55
2000,NA
2002,NA
2000,82
2003,83
2004,700
2000,92
2001,94
2001,116
2000,90
2000,102
2001,89
2001,119
2002,95
2000,100
2000,116
2000,112
2000,109
2000,90
2000,97
2003,100
2006,88
2000,91
2000,NA
2009,88
2017,83
2000,87
2018,95
2000,82
2000,97
2003,100
2000,77
2000,97
2000,89
2000,97
2001,NA
2000,95
2000,115
2000,81
2000,96
2000,NA
2000,171
2001,122
2004,66
2003,100
2001,86
2000,95
2001,104
2000,116
2003,90
2000,96
2000,99
2009,85
2001,92
2000,102
2001,NA
2000,98
2006,90
2012,82
2000,106
2000,90
2000,82
2000,91
2000,87
2001,84
2002,121
2002,89
2002,75
2005,76
2000,145
2001,100
2010,136
2004,81
2000,113
2000,126
2000,78
2000,90
2000,NA
2005,90
2001,87
2000,97
2002,96
2000,89
2000,116
2001,98
2000,162
2002,101
2000,82
2000,78
2001,110
2001,107
2000,54
2000,84
2000,93
2009,93
2000,115
2001,80
2000,NA
2010,100
2002,90
2000,86
2000,NA
2000,99
2000,111
2000,85
2003,76
2004,90
2000,81
2002,91
2000,89
2000,92
2000,89
2000,95
2000,108
2000,85
2001,92
2000,154
2003,101
2000,90
2000,99
2002,94
2000,NA
2001,119
2000,91
2000,106
2000,114
2000,90
2000,NA
2000,93
2001,97
2001,106
2004,77
2000,87
2003,154
2013,180
2000,90
2001,108
2000,82
2000,92
2006,190
2000,117
2000,98
2002,96
2002,94
2002,90
2000,92
2005,90
2001,90
2001,102
2000,97
2001,NA
2001,95
2000,81
2003,80
2000,88
2000,89
2000,89
2001,93
2000,97
2000,101
2000,92
2000,139
2000,NA
2000,93
2000,104
2000,105
2000,93
2000,88
2005,120
2000,91
2000,110
2000,105
2000,45
2000,128
2001,NA
2000,88
2003,120
2001,106
2000,93
2005,90
2000,130
2001,94
2002,90
2001,NA
2000,107
2000,NA
2000,85
2001,141
2001,93
2001,93
2000,143
2001,111
2000,99
2000,116
2002,98
2002,116
2000,99
2010,89
2000,94
2001,92
2000,80
2000,102
2000,88
2001,90
2000,95
2001,92
2000,105
2000,94
2001,94
2000,119
2000,107
2002,116
2000,112
2023,NA
2000,95
2002,124
2000,92
2000,110
2000,99
2001,104
2000,89
2001,NA
2002,91
2000,109
2001,98
2000,NA
2002,97
2000,97
2001,96
2000,85
2001,81
2000,89
2002,116
2001,90
2000,94
2000,115
2003,88
2000,107
2001,96
2001,101
2001,90
2000,88
2001,93
2000,89
2000,92
2001,101
2000,52
2001,NA
2002,83
2006,135
2001,147
2001,NA
2002,88
2000,101
2004,122
2000,114
2003,201
2002,179
2001,104
2000,130
2004,95
2000,NA
2000,92
2004,NA
2000,113
2000,101
2000,84
2000,82
2000,93
2000,97
2000,140
2000,90
2000,70
2002,120
2000,90
2000,80
2004,NA
2001,224
2000,95
2000,95
2000,86
2003,90
2001,86
2000,104
2001,84
2000,109
2004,103
2001,104
2000,NA
2000,101
2000,76
2001,78
2000,101
2000,112
2000,128
2001,NA
2000,110
2000,100
2001,124
2000,122
2003,147
2000,81
2018,90
2000,91
2000,155
2001,107
2000,104
2000,90
2000,94
2000,91
2001,79
2021,154
2001,93
2000,75
2000,87
2001,106
2000,100
2000,107
2000,82
2000,NA
2000,103
2000,79
2001,89
2001,88
2000,108
2000,88
2000,NA
2002,117
2000,92
2002,88
2003,70
2002,98
2000,91
